0,RMSE005865_TO0324_PNI-17476_000001,"Histoire de l'astronomie moderne; par M. Delambre, chevalier de Saint-Michel...etc., etc. Tome premier [-second] Vol. 1","Delambre, Jean Baptiste Joseph","Paris : chez Courcier, ..., rue du Jardinet-Saint-Andre-des Arcs, n. ",1821,"* | Copertina | 1
* | IV. Praecessionem aequinoetiorum ex collatis flamstedii et lacaillii ... | 51
* | V. Etsi tuborum meridionalium arcuumque muralium ... | 52
* | Copertina  | 63
"
105,TO0E040583_TO0324_PNI-2096_000000,"Analyse des refractions astronomiques et terrestres par le citoyen Kramp ...","Kramp, Christian","Strasbourg : Philippe Jacques Dannbach, l'an de la R",1799,"* | Copertina | 1
* | Frontespizio | 5
* | Table des matiéres | 7
* | Chapitre premier. Disposition des couches atmsphériques | 25
* | Chapitre second. Principes généraux de la route de la lumiére par les airs | 54
* | Chapitre troisieme. Analyse des facultés numériques | 70
* | Chapitre quatriéme. Réfractions qui approchent de l'horizon | 137
* | Chapitre cinquiéme. Examen des solutions d'Euler, Bradley, Mayer et Lambert | 183
* | Chapitre sixiéme. Réfractions terresres | 199
* | Tables servant au calcul des réfractions approchantes de l'horizon | 217
* | Illustrazione | 235
* | Copertina | 239
"
106,TO0E039736_TO0324_PNI-1705_000000,"Recherches sur la theorie des surfaces elastiques; par M.elle Sophie Germain","Germain, Sophie","Paris : M.me v.e Courcier ...",1821,"* | Copertina | 1
* | Occhietto : Recherches sur la théorie des surfaces élastiques | 5
* | Frontespizio | 7
* | Avertissement | 9
* | Recherches sur la théorie des surfaces élastiques | 15
* | Errata corrige | 111
* | Illustrazione | 113
* | Copertina | 117
"
107,TO0E041601_TO0324_PNI-2644_000000,"Coup-d'oeil sur l'etat actuel de l'astronomie - pratique en France et en Angleterre, ou Recueil de douze articles sur ce sujet ... par Alfred Gautier ..","Gautier, Alfred","Geneve : de l'Imprimerie de la Bibliotheque Universelle, juin ",1825,"* | Copertina | 1
* | Frontespizio | 5
* | Table des articles | 6
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Premiere article, contenant la description de l'Observatoire de Greenwich, luc à la Sociéte de Physique et d'Histoire naturelle de Genéve, le decembre23 9 | 18
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Second article, relatif à l'Observatoire de Dublin et aux recherches les plus récentes sur la parallaxe annuelle des étoiles  | 29
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Troisieme article relatif aux Observatoires des Universitès d'Oxford et de Cambridge et terminé par quelques réflexions sur l'etude des Mathematiques ... | 59
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Quatrieme article, relatif aux Observatoiresn et aux Institutions ... | 83
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Cinquieme article relatif à quelques Observatoires particuliers d'Angleterre | 103
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Sixieme article comprenant une esquisse des recherches les plus recentes sur les étoiles doubles ...  | 123
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Septieme article relatif à l'Observatoire Royal de Paris | 151
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Huitiéme article contenant la suite de la Notice aux l'Observatoire Royal de Paris | 175
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Neuvieme article contenant la fin de la notice sur l'Observatoire Royal de Paris ...  | 193
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Dixieme article relatif à divers Observatoires de Paris et à l'Observatoire royal de Marsille | 211
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Onxiéme article relatif à divers Observatoires de France et aux travaux astronomiques et ... | 231
* | Coup-d'oeil sur l'état actuel de l'astronomie-pratique en France et en Angleterre, par le Prof. Gautier. Douxieme et dernier article relatif aux institutions aux davans et aux artistes qui concourent aux ... | 251
* | Illustrazione | 283
* | Copertina | 289
"
108,TO0E044201_TO0324_PNI-3615_000000,"Memoria technica, or A new method of artificial memory, applied to and exemplified in chronology, history, geography, astronomy. Also Jewish, Grecian and Roman coins, weights and measures, etc. With tables proper to the respe","Grey, Richard","London : printed for John Stagg, in Westminster Hall, ... [etc.]",1737,"* | Copertina | 1
* | Frontespizio | 5
* | Preface | 7
* | Table of contents | 11
* | A teatrise on the construction of maps | 21
* | Appendix | 207
* | Notes and illustrations | 225
* | Errata corrige | 244
* | Copertina | 251
"
109,TO0E044932_TO0324_PNI-3878_000000,"A system of practical nosology: to which is prefixed a synopsis of the systems of Sauvages, Linnaeus, Vogel, Sagar, Macbride, Cullen, Darwin, Crichton, Pinel, Parr, Swediaur, Young, and Good. With references to the best authors on each disease. By David Hosack ..","Hosack, David","New-York : Printed by C.S. Van Winkle, printer to the University, No. 101 Greenwich-street",1821,"* | Copertina | 1
* | Occhietto : Practical nosology | 7
* | Frontespizio | 9
* | Dedica : To James Gregory, M.D.F.R.S. Ed. Professor of the practice of physic... | 11
* | Advertisement to the second edition | 13
* | Preface to the first edition | 15
* | Part first | 27
* | Part second | 177
* | Index of the Classes, Orders, and Genera | 381
* | Derivation of the terms used to designate the classes, ordres, and genera | 387
* | Copertina | 399
"
110,TO0E037877_TO0324_PNI-1116_000000,"The doctrine of fluxions: not only explaining the elements thereof, but also its application and use in the several parts of mathematics and natural philosophy / [W. Emerson]","Emerson, William ","London : printed by J. Bettenham and sold by W. Innys, at the West End of St. Paul's",1743,"* | Copertina | 1
* | Frontespizio | 5
* | Preface | 7
* | The doctrine of fluxions. Postulatum. That any quantity may be supposed to be generated by continual increase | 21
* | The contents | 341
* | Errata corrige | 344
* | Copertina | 347
"
111,UFIE002904_TO0324_PNI-2002_000000,"Institutions astronomiques, ou lecons elementaires d'astronomie, pour servir d'introduction a la physique celeste, & a la science des longitudes, avec les nouvelles tables d'equation corrigees, et particulierment les tables du soleil, de la lune & des satellites, precedees d'un essai sur l'histoire de l'astronomie moderne / [Keill, John]","Keill, John ","A Paris : chez Hyppolite-Louis Guerin, & Jacques Guerin, rue Saint Jacques, a Saint Thomas d'Aquin, vis-a-vis les Mathurins",1746,"* | Copertina | 1
* | Frontespizio | 7
* | Dedica : A Messire Jean-Baptiste Languet de Gergy, curé de Saint Sulpice, abbé de Bernay, pere des Orphelins et des pauvres ... | 9
* | Table des Chapitres | 11
* | Essai sur l'histoire et sur le progrès de l'Astronomie ... | 15
* | Remarque sur les Appulses de la Lune et des Planetes aux Etoiles fixes | 78
* | Chapitre premiere. Du mouvement apparent | 79
* | Chapitre second. Où l'on considere le mouvement apparent, lorsque l'Observateur change de lieu | 93
* | Chapitre troisieme. Systeme du monde | 99
* | Chapitre quatrieme. Où l'on prouve que le systemequ'on vien d'exposer, est le vrai systeme du monde | 111
* | Chapitre cinquieme. Des taches du soleil, de la rotation du soleil et des planetes autour de leurs axes et de quelques changemens dans les Etoiles fixes | 127
* | Chapitre sixieme. De la diversité des grandeurs et de la disposition des etoiles dans le ciel; des principaux catalogues, du nomebre des constellations et de quelques changemens particuliers à certaines etoiles fixes | 133
* | Chapitre septieme. Du mouvement annuel de la terre à l'égard du soleil et de sa rotation autour de son axe ... | 154
* | Chapitre huitieme. De quelques autres phénomenes qui dépendent du mouvement de la terre | 173
* | Chapitre neuvieme. De la lune, de ses différentes et de son mouvement | 199
* | Chapitre dixieme. Des inégalités du mouvement de la lune; de la figure de son disque apparent, des montagnes et des cavités profondes que l'on y apparçoit | 213
* | Chapitre onzieme. Des eclipses de soleil et de la lune | 283
* | Chapitre douzieme. De la penombre et du cone qu'elle forme. La méthode d'en mesurer la hauteur ... | 294
* | Chapitre treizieme. Où l'on considere la projecton de l'ombre  de la lune sur le disque de la torre | 305
* | Chapitre quatorzieme. Où l'on expose la méthode nouvelle de calculer les eclipses du soleil qui doivent étre visible pour un licu donné | 323
* | Chapitre quinzieme. Où l'on consulere les différens phénomens qui font occasionnès par le mouvement de la terre et par celui des deux planetes inférieures venus et mercure | 353
* | Chapitre seizieme. Du mouvemens des planetes supérieures, mars jupiter et saturne et des phénomenes qui en résultent | 377
* | Chapitre dix-septieme. Des cometes | 419
* | Chapitre dix-huitieme. De la sphere et de ses différens cercles | 453
* | Chapitre dix-neuvieme. De quelques autres elemens de la sphere | 468
* | Chapitre vingtieme. Des crépuscules et de la réfraction des astres | 501
* | Chapitre vingt-deuxieme. Où l'on traite des parallaxes | 521
* | Chapitre vingt-troisieme. La théorie du mouvement annuel de la terre | 568
* | Chapitre vingt-quartieme. Du mouvement des planetes dans une Eclipse et solution du probleme de Kepler ... | 584
* | Chapitre vingt-cinquieme. Solution du probleme de Kepler donnée par M. Newton ... | 601
* | Chapitre vingt-sixieme. De l'equation du tems | 623
* | Chapitre vingt-septieme. De la théorie des autres planetes | 641
* | Chapitre vingt_huitieme. Où l'on traite des stations des planetes | 683
* | Chapitre vingt-neuvieme. Des parties du tems | 701
* | Chapitre trentieme. Du calendeir et des cycles ou périodes | 714
* | Table des matieres | 743
* | Table generale pour servir a calculer le mouvement des cometes dans un orbe parabolique | 766
* | Avertissement | 768
* | Copetina | 773
"
112,PUVE004383_TO0324_PNI-1929_000000,"Esperienze fisico-meccaniche sopra varj soggetti contenenti un racconto di diversi stupendi fenomeni intorno la luce e l'elettricita producibile dallo strofinamento de' corpi. Con molte altre notabili apparenze non mai prima osservate. Colle spiegazioni di tutte le macchine. Opera di F. Hauksbee della Societa Regia tradotta dall'idioma inglese","Hauksbee, Francis","In Firenze : nella Stamperia di Sua Altezza Reale per Jacopo Guiducci e Santi Franchi",1716,"* | Copertina | 1
* | Occhietto : Esperienze fisico-meccaniche sopra varj soggetti | 5
* | Frontespizio | 7
* | Proemio | 9
* | Tavola | 13
* | Imprimatur | 18
* | Descrizione generale della tromba da cavar l'aria, che serve per le seguenti esperienze | 21
* | Sezione I. Relazione di varie sperienze sopra il fosforo mercuriale | 25
* | Sezione II. Relazione di varie sperienze fatte intorno alla confricazione, o attrizione de' corpi in vari mezzi | 34
* | Alcune altre esperienze toccanti l'elettricità del vetro | 67
* | Racconto d'una sperienza confermante la produzione della luca per mezzo degli effluvi d'un vetro, che dia sopra un altro | 73
* | Sezione III. Una esperienza che dimostra la difficoltà di separare due emisferi gettando un atmosfera d'aria sopra le loro esteriori superficie, senza cavar l'aria rinchiusa | 76
* | Sezione IV. Una sperienza concernentela proporzione del peso dell'aria al peso d'un egual corpo d'acqua  senza sapersene nè dell'una nè dell'altra l'assoluta quantità | 80
* | Sezione V. Una sperienza dimostrante, che l'ascendimento de' liquidi in piccoli tubi aperti da ambe le parti sia l'istello nel vuoto, che nell'aria aperta | 83
* | Errata corrige | 183
* | Illustrazione | 185
* | Illustrazione I | 187
* | Illustrazione II | 189
* | Illustrazione III | 191
* | Illustrazione IIII | 193
* | Illustrazione V | 195
* | Illustrazione VI | 197
* | Illustrazione VII | 199
* | Copertina | 203
"
113,TO0E040284_TO0324_PNI-1945_000000,"Essai historique sur le probleme des trois corps, ou Dissertation sur la theorie des mouvemens de la lune et des planetes, abstraction faite de leur figure; par Alfred Gautier ...","Gautier, Alfred","A Paris : de l'imprimerie de Mme Ve Courcier, rue de Jardinet",1817,"* | Copertina | 1
* | Frontespizio | 5
* | Dedica : A Monsieur le Baron Maurice, membre de l'Académie Royale des Sciences, officier  de l'Université, membre de la lègion-d'honneur, maitre des requétes au conseil-d'état,... | 7
* | Préface | 9
* | Table des chapitres | 13
* | Première partie. Théories de la lune | 17
* | Seconde partie. Théorie des planetes | 145
* | Troisième partie. Elémens de la théorie générale des mouvemens des planètes et des satellites,... | 233
* | Illustrazione | 301
* | Copertina | 305
"
114,TO00324936_TO0324_27950_000001,"Lettere del Conte Carlo Vidua / publicate da Cesare Balbo Tomo I","nan","Torino : presso G. Pomba",1834,"* | Copertina | 1
* | Frontespizio | 5
* | Occhietto : Vita di Carlo Vidua | 7
* | Vita di Carlo Vidua | 9
* | Occhietto : Libro I. Lettere giovanili e prime gite in Italia, Francia e Gran Bretagna. Anni-1818 57 | 1806
* | Libro I | 59
* | Indice | 365
* | Copertina | 371
"
115,TO00324938_TO0324_27953_000003,"Lettere del Conte Carlo Vidua / publicate da Cesare Balbo Tomo III","nan","Torino : presso G. Pomba",1836,"* | Copertina | 1
* | Frontespizio | 5
* | Occhietto : Libro IV. Secondo viaggio, nell'America settentrionale. Anni-1827 7 | 1825
* | Libro IV | 9
* | Occhietto : Libro V. Terzo ed ultimo viaggio, nelle Indie orientali, China, ed Oceania. Anni-1830 277 | 1827
* | Libro V | 279
* | Occhietto : Documenti sulla morte di Carlo Vidua | 437
* | Documenti | 439
* | Occhietto : Supplemento alle Lettere del Primo Volume | 457
* | Supplemento | 459
* | Indice | 487
* | Tavole | 491
* | Copertina | 497
"
116,TO00324937_TO0324_27952_000002,"Lettere del Conte Carlo Vidua / publicate da Cesare Balbo Tomo II","nan","Torino : presso G. Pomba",1835,"* | Copertina | 1
* | Frontespizio | 5
* | Occhietto : Libro II. Primo viaggio, in Francia, Inghilterra, Danimarca, Svezia, Russia, Turchia d'Europa e d'Asia, ed Egitto. Anni-1821 7 | 1818
* | Libro II | 9
* | Occhietto : Libro III. Ritorno ed ultima dimora in patria. Anni-1824 393 | 1821
* | Libro III | 395
* | Indice | 499
* | Tavola | 503
* | Copertina | 507
"
117,TO00186883_TO0324_2033_000019,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XIX Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts | 5
* | Copertina | 703
"
118,TO00186883_TO0324_2033_000011,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XI Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts | 5
* | Copertina | 1111
"
119,TO00186883_TO0324_2033_000005,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts V Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agricolture et le les arts | 5
* | Copertina | 467
"
120,TO00186883_TO0324_2033_000021,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XXI Année N. 1-53","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui interesse l'agriculture et les arts | 5
* | Copertina | 703
"
121,TO00186883_TO0324_2033_000023,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XXIII Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui interesse l'agriculture et les arts | 5
* | Copertina | 773
"
122,TO00186883_TO0324_2033_000025,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts 25 Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui interesse l'agriculture et les arts | 5
* | Copertina | 871
"
123,TO00186883_TO0324_2033_000007,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts VII Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agricolture et le les arts | 5
* | Copertina | 471
"
124,TO00186883_TO0324_2033_000002,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts II Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agricolture et le les arts | 5
* | Copertina | 537
"
125,TO00186883_TO0324_2033_000001,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts I Année N. 1-39","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agricolture et le les arts | 5
* | Copertina | 471
"
126,TO00186883_TO0324_2033_000024,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts 24 Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui interesse l'agriculture et les arts | 5
* | Copertina | 847
"
127,TO00186883_TO0324_2033_000006,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts VI Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agricolture et le les arts | 5
* | Copertina | 465
"
128,TO00186883_TO0324_2033_000016,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XVI Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts | 5
* | Copertina | 635
"
129,TO00186883_TO0324_2033_000017,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XVII Année N. 1-51","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts | 5
* | Copertina | 615
"
130,TO00186883_TO0324_2033_000012,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XII Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts | 5
* | Copertina | 1183
"
131,TO00186883_TO0324_2033_000004,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts IV Année N. 1-53","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agricolture et le les arts | 5
* | Copertina | 463
"
132,TO00186883_TO0324_2033_000008,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts VIII Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina  | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agricolture et le les arts | 5
* | Copertina | 503
"
133,TO00186883_TO0324_2033_000013,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XIII Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts | 5
* | Copertina | 1199
"
134,TO00186883_TO0324_2033_000022,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XXII Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui interesse l'agriculture et les arts | 5
* | Copertina | 695
"
135,TO00186883_TO0324_2033_000009,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts IX Année N. 1-53","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agricolture et le les arts | 5
* | Copertina | 651
"
136,TO00186883_TO0324_2033_000026,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts 26 Année N. 1-51","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui interesse l'agriculture et les arts | 5
* | Copertina | 791
"
137,TO00186883_TO0324_2033_000020,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XX Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, litteraire, et contenant ce qui intéresse l'agricolture et les arts | 5
* | Copertina | 735
"
138,TO00186883_TO0324_2033_000003,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts III Année N. 1-51","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agricolture et le les arts | 5
* | Copertina | 503
"
139,TO00186883_TO0324_2033_000027,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts 27 Année N. 1-53","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui interesse l'agriculture et les arts | 5
* | Copertina | 855
"
140,IEI0103888_TO0324_PNI-14761_000000,"De philosophiae apud Romanos initio et progressu, Paganini Gaudentii volumen, in quo praeter historiam multa ad contemplationem rerum, & dissidentes veterum sapientium scholas facientia, enarrantur","Gaudenzio, Paganino","Pisis : typis Amatoris Massae, & Laurentii de Landis",1643,"* | Copertina | 1
* | Occhietto: De progressu philosophiae apud romanos | 3
* | Frontespizio | 5
* | Immortali memoriae eorum qui in hoc opere philosophiae causa honorifice memorantur, librum fuum offerte, dicae Paganinus Gaudentius | 7
* | Index | 8
* | Dedica: Ad Paganinum Gaudentium  | 33
* | De historia philosophica excolenda ... | 39
* | De initio, et progressu philosophiae apud romanos | 43
* | Addenda operi, De philosophiae apud romanos initio, et progressu | 625
* | Index rerum et verborum | 679
* | Copertina | 701
"
141,TO00186883_TO0324_2033_000014,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XIV Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts | 5
* | Copertina | 555
"
142,TO00186883_TO0324_2033_000015,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XV Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts | 5
* | Copertina | 569
"
143,TO00186883_TO0324_2033_000010,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts X Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts | 5
* | Copertina | 1113
"
144,TO00186883_TO0324_2033_000018,"Journal de Savoie : feuille politique, religieuse, litteraire et contenant ce qui interesse l'agriculture et les arts XVIII Année N. 1-52","nan","Chambery : Cleaz",1816,"* | Copertina | 1
* | Journal de Savoie, feuille politique, religieuse, littéraire, et contenant ce qui intéresse l'agriculture et les arts | 5
* | Copertina | 687
"
145,TO01653271_TO0324_88839_000000,"Diagnoses preliminaires de vingt - huit especes nouvelles de stomatopodes et decapodes macroures de la Mer Rouge / par M. le dr. G. Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1904,"* | Diagnoses préliminares de vingt-huit espèces nouvelles de Stomatopodes et Décapodes Macroures de la mer Rouge  | 1
"
146,TO00165800_TO0324_54597_000000,"La teoria di Darwin criticamente esposta da Giovanni Canestrini","Canestrini, Giovanni ","Milano : Dumolard",1880,"* | Copertina | 1
* | Occhietto : Biblioteca Scientifica Internazionale | 3
* | Pubblicità editoriale | 4
* | Frontespizio | 5
* | Indice | 7
* | Al lettore | 13
* | La teoria di Darwin | 15
* | Copertina | 367
"
147,TO01653103_TO0324_88848_000000,"Contribuzioni alla conoscenza della fauna carcinologica della Papuasia, delle Molucche e dell'Australia / di Giuseppe Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1899,"* | Copertina | 1
* | Contribuzioni alla conoscenza della fauna carcinologica della papuaasia, delle molucche e dell'Australia  | 3
* | Indicazioni bibliografiche delle opere ... | 51
* | Copertina | 59
"
148,PUV0935602_TO0324_88853_000000,"Note sulla flora del Monte Mottarone / Giuseppe Nobili","Nobili, Giuseppe","[S.l. : s.n.?]",1895,"* | Note sulla flora del Monte Mottarone | 1
* | Centuria prima | 3
"
149,LIA0024617_TO0324_PRE-76238_000000,"Carlo Darwin / Alberto Alberti","Alberti, Alberto","Bologna ; Modena : A.F. Formiggini",1909,"* | Copertina | 1
* | Frontespizio | 5
* | Ritratto di Darwin | 8
* | Carlo Darwin | 9
* | Bibliografia | 79
* | Profili | 83
* | Giudizi della stampa | 85
* | Copertina | 91
"
150,TO01653141_TO0324_88847_000000,"Decapodi e stomatopodi indo - malesi / pel dott. Giuseppe Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1900,"* | Copertina | 1
* | Decapodi e Stomatopodi Indo-Malesi | 3
* | Copertina | 55
"
151,RAV0252619_TO0324_54798_000000,"La spedizione di sua altezza reale il principe Luigi Amedeo di Savoia duca degli Abruzzi al Monte Sant'Elia : Alaska 1897 / Filippo De Filippi; illustrata da Vittorio Sella","De Filippi, Filippo","Milano : U. Hoepli",1900,"* | Copertina  | 1
* | Occhietto : La spedizione di sua Altezza Reale il Principe Amedeo di Savoia Duca degli Abruzzi al Monte Sant'Elia (Alaska)-1807- 7 | 1807
* | Illustrazione | 10
* | Frontespizio | 11
* | Dedica : A Sua Maestà Margherita di Savoia, Regina d'Italia | 13
* | Illustrazione | 18
* | Prefazione | 19
* | La spedizione di sua Altezza Reale il Principe Amedeo di Savoia ... | 29
* | Appendici | 285
* | Indici | 368
* | Illustrazione | 378
* | Copertina | 399
"
152,TO01653366_TO0324_88852_000000,"Crostacei / Giuseppe Nobili","Nobili, Giuseppe","[S.l. : s.n., dopo il 1906]",1906,"* | Copertina  | 1
* | Decapoda | 3
* | Isopoda | 3
* | Copertina  | 7
"
153,TO01653331_TO0324_88855_000000,"Tritodynamia horvathi Nob. nuovo decapodo del Giappone / pel dr. G. Nobili","Nobili, Giuseppe","[S.l. : s.n.]",1905,"* | Copertina  | 1
* | Tritodynamia Horvathi Nob. Nuovo decapodo del Giappone | 3
* | Illustrazione | 9
* | Copertina  | 11
"
154,TO00166942_TO0324_53660_000000,"Per un recente raffronto delle teorie di S. Agostino e di Darwin circa la creazione. - Antonio Fogazzaro. - 6. ed. - Milano : Galli, 1892. - 111 p.; 20 cm.","Fogazzaro, Antonio","",,"* | Copertina | 1
* | Occhietto : Per un recente raffronto delle teorie di S. Agostino e di Darwin circa la creazione | 5
* | Frontespizio | 7
* | Avvertenza | 9
* | Dedica : A Joseph Le Conte | 11
* | Per un recente raffronto delle teorie di S. Agostino ... | 14
* | Estratto dal catalogo della Casa Editrice Galli ... | 105
* | Copertina | 115
"
155,UFI0199294_TO0324_52672_000000,"Storia della creazione naturale : conferenze scientifico-popolari sulla teoria dell'evoluzione in generale e specialmente su quella di Darwin, Goethe e Lamarck / Ernesto Haeckel; traduzione sull'8. ed. tedesca col consenso dell'autore di Daniele Rosa; con prefazione di Michele Lessona","Haeckel, Ernst Heinrich","Torino : Unione tipografico-editrice",1892,"* | Copertina  | 1
